,text,label,model,difficult
1598,I wanted that gift as much as cancer,3,bert,no
140,I was encouraged not to get a response back from the company after applying for the job,1,rf,yes
1812,I felt like a hero when I realized that I brought a present for a baby boy to a baby shower for a baby girl,1,bert,no
217,The armor was tough as glass,3,rf,yes
137,That is why it is so important to remain like a planted oak,3,rf,yes
138,But today carly wanted to feel like a kick-ass chick in a superhero movie.,3,rf,yes
2503,They were burning with desire.,4,bert,no
3058,The tax cut will fertilize the economy.,4,bert,no
62,He spent three years seconded to a lame duck industry.,2,bert,yes
205,And  made  answer very gravely.,4,rf,yes
69,I farted in the middle of my speech but no big deal; it happens to me all the time.,1,bert,yes
2980,"I do bear that in mind, doctor.",2,bert,no
80,"Recently I ate at a restaurant and the whole place smelled terrible, just like a bouquet of roses.",1,bert,yes
1290,John fell behind his class mates.,4,bert,no
70,The whole family moved out bag and baggage.,2,bert,yes
224,I am super proud that my 15 year old son crashed my ferrari while taking it for a test drive,1,bert,no
234,You can freely switch between them but the rest go like a deflated dummies.,3,rf,yes
1433,"If I could just go with the flow for a couple of hours, I may just have a decent enough time to get through it.",2,bert,no
30,You're as affectionate as a crocodile,3,bert,no
84,"He could hear the screams of her victims, could smell burnt flesh and taste blood.",2,bert,yes
73,"Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .",4,bert,yes
2184,Her optimism flicked away these worries.,4,bert,no
5,"Turns out, tag between super heroes can get like a sibling rivalry.",3,bert,no
2651,The wildfire ravaged through the forest at an amazing speed.,4,bert,no
10,The situation was cut and dried.,2,bert,yes
2479,"It's the same with bardem, only to the nth degree.",2,bert,no
202,I was grateful not to get a response back from the company after applying for the job,1,rf,yes
2804,"We will, gentlemen, sink or swim together on this, because we are too closely linked to do anything else.",2,bert,no
2907,The formula was as well-known as the eleventh president of Zambia,3,bert,no
3601,I am so excited when my wifi connection drops and becomes too slow to stream my favorite show,1,bert,no
222,"And rest can never dwell , hope never  comes.",4,rf,yes
35,I'm going to take a leak.,2,bert,no
186,Robed  with darkness as a garment .,4,rf,yes
113,The politician toppled his rival.,4,bert,no
2513,The fabric was as smooth as a washboard,3,bert,no
747,Alexander's spirits rose.,4,bert,no
2995,"I looked down at him, and he smiled at me like an angel.",3,bert,no
154,A thought forms in my mind and it's like a sun-filled day .,3,rf,yes
3073,"You 'll be whatever you have to be to make this company run smoothly, or your name will come off that door before you can say knife!",2,bert,no
102,He thinks these documents will leak out soon or late.,4,roberta,yes
386,The fact that I got so drunk on my birthday and said some really terrible things to one of my oldest friends makes me feel just great,1,bert,no
178,"fitting for the new arrival, she's full of beans.",2,rf,yes
2733,It starts to worry you that everyone is like a snowman looking at the first spring sun.,3,bert,no
147,"He finds out what the needs of the business are , and prescribes the cure .",4,rf,yes
105,l am getting a little broad in the beam .,2,roberta,yes
21,"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.",3,bert,yes
149,I was happily waiting to find out some lab results and wasn't sure if they would diagnose me with something cute,1,rf,yes
188,One day you decide to test it out and what you experience is like a fantastical dream.,3,rf,yes
58,There are few things in life as pleasant as almost vomiting when seeing a person eating a cockroach on TV.,1,bert,yes
10,"Then as I gathered courage to go down I realized there was a fire across the street, but it seems to be in hand now.",2,bert,no
59,"You disagree? Okay, shoot!",4,bert,yes
2424,I was so happy with myself when my social anxiety caused me to make a mistake while paying the cashier,1,bert,no
2656,I feel so loved when my husband works long hours and I'm by myself in the middle of the night,1,bert,no
247,That guy who let his dog run off leash and scare my dogs needs to be praised,1,lr,yes
1056,I felt overjoyed when I realized that I couldn't afford to get my daughter the gift she wanted,1,bert,no
226,"day in, day out, I work hard to put food on the table, and then I cop this from the missus.",2,rf,yes
